TU_RLTY_KID;Error;Error_text;KNum
4418377;0;;43:40:002819:440
4680735;0;;43:40:002819:438
4471053;0;;43:40:002819:436
4515239;0;;43:40:002819:439
4431731;0;;43:40:002819:415
4740595;0;;43:40:002819:455
4577459;0;;43:40:002819:442
4457883;0;;43:40:002819:462
4698781;0;;43:40:002819:454
4589475;0;;43:40:002819:446
4668913;0;;43:40:002819:445
4650949;0;;43:40:002819:460
4728715;0;;43:40:002819:456
4686817;0;;43:40:002819:449
4722641;0;;43:40:002819:441
4639035;0;;43:40:002819:457
4527785;0;;43:40:002819:459
4818341;0;;43:40:002819:458
4483687;1;Parse error;
4527791;1;Parse error;
4608221;0;;43:40:002819:443
4431733;0;;43:40:002819:451
4489971;0;;43:40:002819:453
4656935;0;;43:40:002819:461
4722637;0;;43:40:002819:452
4758267;0;;43:40:002819:444
4521475;0;;43:40:002819:448
4776101;0;;43:40:002819:450
4390221;0;;43:40:002203:20
4424997;0;;43:40:003630:867
4692865;0;;43:40:003630:861
4546659;0;;43:40:003630:864
